sampleID,HGNC_symbol,Control,Mutant,Log2FC,pvalue,"","",""
sample2,MRPL43,,,0.473411974378535,0.000126938090585979,"","",""
sample2,DOT1L,,,-0.655555124992556,0.000122695856401278,"","",""
sample2,SFT2D2,,,0.772322253274894,0.000124293708120426,"","",""
sample2,SPR,,,0.652308044068918,0.00014858562552805,"","",""
sample2,LPIN3,,,0.774902263059098,0.000161328063249221,"","",""
sample2,CNP,,,0.788194764850305,0.000164168352126002,"","",""
sample2,PECR,,,-2.64854664054677,7.09053397803408e-05,"","",""
sample2,MAST2,,,-0.524831886839146,0.000124623483723494,"","",""
sample2,ERCC6,,,-0.929221009508631,0.000141032379735067,"","",""
sample2,LIPT2,,,0.868082515679712,0.000169010736333423,"","",""
sample2,MRM2,,,0.47358407955598,0.000156501680474646,"","",""
sample2,LAMA2,,,0.822203592259504,0.000140755913175762,"","",""
sample2,NAT8L,,,-1.70940842177077,0.000169441748524146,"","",""
sample2,STARD4,,,-1.10597080911164,0.000193230208791734,"","",""
sample2,AP1S1,,,0.670261952695794,0.000181070576816731,"","",""
sample2,RYR2,,,-0.675051502042988,0.000143504040383918,"","",""
sample2,CREB5,,,-1.36629228395175,0.000191767251993025,"","",""
sample2,ZNF2,,,0.790642385507075,0.000209944807220035,"","",""
sample2,PDE4C,,,1.58461055812062,0.000204193666966578,"","",""
sample2,RSRC1,,,-0.908810735161296,0.000220666967429581,"","",""
sample2,SWSAP1,,,0.765200875679012,0.000225865057672815,"","",""
sample2,KNOP1,,,0.653581105092677,0.00021445598563839,"","",""
sample2,TMEM184C,,,0.451275432999093,0.000184461905409135,"","",""
sample2,RRAGA,,,0.364968622607358,0.000170976419468192,"","",""
sample2,CHPF,,,0.437436968944907,0.00017699231985407,"","",""
sample2,TXNL1,,,-0.543048787164577,0.000179932281771627,"","",""
sample2,H2AC19,,,-1.6405206883035,0.00022019229172868,"","",""
sample2,FOSB,,,-3.50909586101082,0.000246250240817467,"","",""
sample2,GNG14,,,0.816290034161796,0.000246774649154701,"","",""
sample2,MIDN,,,-0.993185867830699,0.000186140916792729,"","",""
sample2,TMEM106C,,,0.548987100695816,0.000229208226748042,"","",""
sample2,PAX5,,,-1.21567075976686,0.000237092430406982,"","",""
sample2,MBLAC2,,,0.504070484890569,0.000221972115087427,"","",""
sample2,GLUL,,,-0.820834784026263,0.000185273533670362,"","",""
sample2,BBS10,,,0.770177846378216,0.000242389423603573,"","",""
sample2,DFFB,,,0.779628189399475,0.000260670953736422,"","",""
sample2,MYRF,,,1.08342529483206,0.000258694203712873,"","",""
sample2,AMH,,,-1.91677051098993,0.000145488940813787,"","",""
sample2,SGSH,,,0.623620658298812,0.000247605068249776,"","",""
sample2,MRPS23,,,0.367028301416279,0.000203162472718418,"","",""
sample2,MYLK3,,,-0.862266364066643,0.000196625917161749,"","",""
sample2,NT5DC1,,,0.789051220686959,0.000221806432365649,"","",""
sample2,NR1D1,,,1.82790772512303,0.000265752091628102,"","",""
sample2,ENOPH1,,,0.395531564205132,0.000217664896200032,"","",""
sample2,SLC25A34,,,1.26873526358149,0.000241750809432075,"","",""
sample2,MYOCD,,,-1.08634460195993,0.000226103270896121,"","",""
sample2,NKAPD1,,,0.747558973713361,0.000254928193068925,"","",""
sample2,RBM11,,,-3.08620021210723,2.30938579211049e-05,"","",""
sample2,ORMDL1,,,-0.614156385566125,0.000222666533665176,"","",""
sample2,P4HA3,,,2.30567767014647,0.000110440392465265,"","",""
