Gene	Condition	Region	Group	mean_logCPM
KCNK3	RA_AF	RA	AF	7.05184795388982
KCNK3	RA_Control	RA	Control	7.42613201191752
KCNK3	RV_AF	RV	AF	0.925322565353322
KCNK3	RV_Control	RV	Control	0.795178562809805
KCNK6	LA_AF	LA	AF	2.74754831131798
KCNK6	LA_Control	LA	Control	1.59232620973627
KCNK6	LV_AF	LV	AF	0.221866859492269
KCNK6	LV_Control	LV	Control	-0.106908180526404
KCNK6	RA_AF	RA	AF	2.10088840623542
KCNK6	RA_Control	RA	Control	1.39335588177468
KCNK6	RV_AF	RV	AF	0.177800592626237
KCNK6	RV_Control	RV	Control	-0.0389987016198635
KCNN1	LA_AF	LA	AF	2.63540628086302
KCNN1	LA_Control	LA	Control	2.80923137464526
KCNN1	LV_AF	LV	AF	2.83378165926343
KCNN1	LV_Control	LV	Control	3.76363092118087
KCNN1	RA_AF	RA	AF	3.04386750328058
KCNN1	RA_Control	RA	Control	2.81354304383788
KCNN1	RV_AF	RV	AF	2.84609897812623
KCNN1	RV_Control	RV	Control	3.79676292446807
KCNN2	LA_AF	LA	AF	2.37577647893141
KCNN2	LA_Control	LA	Control	1.34326832024682
KCNN2	LV_AF	LV	AF	-1.2942982052445
KCNN2	LV_Control	LV	Control	-1.02049941954428
KCNN2	RA_AF	RA	AF	-0.711205445019254
KCNN2	RA_Control	RA	Control	-0.535919247990368
KCNN2	RV_AF	RV	AF	-0.659997352070027
KCNN2	RV_Control	RV	Control	-0.976627229429709
KCNN3	LA_AF	LA	AF	1.04794885005472
KCNN3	LA_Control	LA	Control	0.0884221382057995
KCNN3	LV_AF	LV	AF	0.114806629072581
KCNN3	LV_Control	LV	Control	-0.241403023588259
KCNN3	RA_AF	RA	AF	-0.0121032650981518
KCNN3	RA_Control	RA	Control	0.557593900063092
KCNN3	RV_AF	RV	AF	-0.349880163694663
KCNN3	RV_Control	RV	Control	-0.365520225975397
KCNQ1	LA_AF	LA	AF	3.92626390578447
KCNQ1	LA_Control	LA	Control	3.77293021689145
KCNQ1	LV_AF	LV	AF	4.08507592258084
KCNQ1	LV_Control	LV	Control	3.91319564668893
KCNQ1	RA_AF	RA	AF	3.68911096742421
KCNQ1	RA_Control	RA	Control	3.80324716017801
KCNQ1	RV_AF	RV	AF	3.97946607766483
KCNQ1	RV_Control	RV	Control	4.19040371462497
KCNQ3	LA_AF	LA	AF	2.00452164977779
KCNQ3	LA_Control	LA	Control	1.08228687932933
KCNQ3	LV_AF	LV	AF	1.65198655251156
KCNQ3	LV_Control	LV	Control	1.48643428488785
KCNQ3	RA_AF	RA	AF	2.41365266829635
KCNQ3	RA_Control	RA	Control	0.895342467090464
KCNQ3	RV_AF	RV	AF	0.772841217904851
