Gene	Condition	Region	Group	mean_logCPM
KCND3	RA_AF	RA	AF	3.86444780624608
KCND3	RA_Control	RA	Control	4.17889538018346
KCND3	RV_AF	RV	AF	3.88135591366965
KCND3	RV_Control	RV	Control	3.89723900255171
KCNH2	LA_AF	LA	AF	5.14200145747143
KCNH2	LA_Control	LA	Control	5.03782315561959
KCNH2	LV_AF	LV	AF	5.80839929305169
KCNH2	LV_Control	LV	Control	5.99230484768217
KCNH2	RA_AF	RA	AF	5.09817338949925
KCNH2	RA_Control	RA	Control	4.97221732724409
KCNH2	RV_AF	RV	AF	5.90792531304566
KCNH2	RV_Control	RV	Control	5.98062323501004
KCNJ11	LA_AF	LA	AF	6.54205045864959
KCNJ11	LA_Control	LA	Control	6.83494978797404
KCNJ11	LV_AF	LV	AF	6.09364706103937
KCNJ11	LV_Control	LV	Control	5.90594821602733
KCNJ11	RA_AF	RA	AF	6.83831143726214
KCNJ11	RA_Control	RA	Control	7.04497431134449
KCNJ11	RV_AF	RV	AF	6.27666886153027
KCNJ11	RV_Control	RV	Control	6.14281037281846
KCNJ12	LA_AF	LA	AF	-0.0122180094201913
KCNJ12	LA_Control	LA	Control	-0.39709382185999
KCNJ12	LV_AF	LV	AF	2.92893558079106
KCNJ12	LV_Control	LV	Control	2.57688964001571
KCNJ12	RA_AF	RA	AF	-0.388659930410742
KCNJ12	RA_Control	RA	Control	-0.595887959405695
KCNJ12	RV_AF	RV	AF	2.88812908049446
KCNJ12	RV_Control	RV	Control	3.0273342176602
KCNJ2	LA_AF	LA	AF	2.56981579035213
KCNJ2	LA_Control	LA	Control	2.64111526357088
KCNJ2	LV_AF	LV	AF	7.19299149659612
KCNJ2	LV_Control	LV	Control	6.99396000136398
KCNJ2	RA_AF	RA	AF	1.21952783530456
KCNJ2	RA_Control	RA	Control	2.85138140828312
KCNJ2	RV_AF	RV	AF	7.39190023038367
KCNJ2	RV_Control	RV	Control	7.07252200611677
KCNJ3	LA_AF	LA	AF	8.42257733952182
KCNJ3	LA_Control	LA	Control	8.19256480024711
KCNJ3	LV_AF	LV	AF	4.9505221553081
KCNJ3	LV_Control	LV	Control	5.16530107110536
KCNJ3	RA_AF	RA	AF	8.12266500420667
KCNJ3	RA_Control	RA	Control	8.0768165938994
KCNJ3	RV_AF	RV	AF	5.64521147747165
KCNJ3	RV_Control	RV	Control	5.44157525517871
KCNJ4	LA_AF	LA	AF	7.58639288616215
KCNJ4	LA_Control	LA	Control	8.41460572869754
KCNJ4	LV_AF	LV	AF	8.27473790136756
KCNJ4	LV_Control	LV	Control	8.44557059941565
KCNJ4	RA_AF	RA	AF	8.19449798181442
KCNJ4	RA_Control	RA	Control	8.40441403374037
KCNJ4	RV_AF	RV	AF	8.18971322229068
KCNJ4	RV_Control	RV	Control	8.30426788137684
KCNK3	LA_AF	LA	AF	7.70763344059484
KCNK3	LA_Control	LA	Control	8.22851383694947
KCNK3	LV_AF	LV	AF	1.10712560515556
KCNK3	LV_Control	LV	Control	-0.338971532709725
KCNK3	RA_AF	RA	AF	7.06066872443257
KCNK3	RA_Control	RA	Control	7.43923041494887
KCNK3	RV_AF	RV	AF	0.929803535655972
KCNK3	RV_Control	RV	Control	0.703506293697692
KCNK6	LA_AF	LA	AF	2.7567950440465
KCNK6	LA_Control	LA	Control	1.60161313959741
KCNK6	LV_AF	LV	AF	0.224011217439059
KCNK6	LV_Control	LV	Control	-0.0919956891560463
KCNK6	RA_AF	RA	AF	2.10967897568912
KCNK6	RA_Control	RA	Control	1.40614703602483
KCNK6	RV_AF	RV	AF	0.18235787766428
KCNK6	RV_Control	RV	Control	-0.0431312144371777
KCNN1	LA_AF	LA	AF	2.64464337985884
KCNN1	LA_Control	LA	Control	2.81852869592851
KCNN1	LV_AF	LV	AF	2.83543879804981
KCNN1	LV_Control	LV	Control	3.9092026791104
KCNN1	RA_AF	RA	AF	3.05264924077898
KCNN1	RA_Control	RA	Control	2.82652744780196
KCNN1	RV_AF	RV	AF	2.85022717343907
KCNN1	RV_Control	RV	Control	3.66128276953973
KCNQ1	LA_AF	LA	AF	3.93552342015327
KCNQ1	LA_Control	LA	Control	3.78224530435884
KCNQ1	LV_AF	LV	AF	4.08666235165718
KCNQ1	LV_Control	LV	Control	3.93570055955173
KCNQ1	RA_AF	RA	AF	3.69791312567782
KCNQ1	RA_Control	RA	Control	3.81629307043318
KCNQ1	RV_AF	RV	AF	3.98354750922343
KCNQ1	RV_Control	RV	Control	4.17796941203066
KCNQ3	LA_AF	LA	AF	2.01354617926762
KCNQ3	LA_Control	LA	Control	1.09143821628193
KCNQ3	LV_AF	LV	AF	1.6537599858841
KCNQ3	LV_Control	LV	Control	1.32980770412032
KCNQ3	RA_AF	RA	AF	2.42227035675891
KCNQ3	RA_Control	RA	Control	0.907898415148109
KCNQ3	RV_AF	RV	AF	0.777187021955657
KCNQ3	RV_Control	RV	Control	0.313877737308494
KCNQ4	LA_AF	LA	AF	1.71234268827046
KCNQ4	LA_Control	LA	Control	1.41298155326982
KCNQ4	LV_AF	LV	AF	2.40786337386024
KCNQ4	LV_Control	LV	Control	1.93560406730223
KCNQ4	RA_AF	RA	AF	0.645172821972498
KCNQ4	RA_Control	RA	Control	1.37029638865098
KCNQ4	RV_AF	RV	AF	2.13972053866292
KCNQ4	RV_Control	RV	Control	1.96651749322388
PLN	LA_AF	LA	AF	10.1402158215979
