"GENENAME","ENSEMBL","ENSEMBL.1","PC1","PC2","PC3","PC4","PC5"
"FAM124A","ENSECAG00000000131","ENSECAG00000000131",0.0100284351189223,0.00528577937522914,-0.00168628062059129,0.00824939675094408,-0.0171653831335145
"MAOB","ENSECAG00000000132","ENSECAG00000000132",-0.00140822446000087,-0.00217360251901431,-0.000792795343058461,0.00800160626709667,0.0061132376682101
"TMEM59L","ENSECAG00000000133","ENSECAG00000000133",0.00215973112044042,-0.00864606188640581,0.0016367234061973,0.00834801222554067,-0.0177560957212464
"MEGF9","ENSECAG00000000134","ENSECAG00000000134",0.00121016911595781,0.0247792094341302,-0.00645250582357171,-0.0135734796195222,-0.0144238375342992
"CDK5RAP2","ENSECAG00000000135","ENSECAG00000000135",-0.00448352647016092,0.000306851089434466,-0.00410547377461046,0.00264052109131477,0.00198022718054073
"FERMT1","ENSECAG00000000136","ENSECAG00000000136",-0.00775138488123025,-0.00130393612827071,-0.00178024224768238,-0.00841220481743083,0.000141560366253149
"ACVR2A","ENSECAG00000000138","ENSECAG00000000138",-0.00241606905490317,0.00424045946402798,-0.00489642972956267,-0.00188855144050326,0.00890067175274261
"YME1L1","ENSECAG00000000140","ENSECAG00000000140",-0.00101571127057838,0.00127371669190378,0.00280393272658814,-0.00101160559698354,-0.00110023775765724
"PTCH1","ENSECAG00000000141","ENSECAG00000000141",-0.00487329434132587,0.00279695047737461,-0.00946500325904037,0.00422093535155915,0.00868269145274328
"CNKSR2","ENSECAG00000000149","ENSECAG00000000149",-0.00825371773234396,0.00243504763589474,-0.00509449504630811,0.0165093504503214,0.00473632069650427
"KITLG","ENSECAG00000000152","ENSECAG00000000152",-0.0127279306717051,0.0264321804287524,-0.0177517038680597,-0.00629333206759057,-0.00163125406690409
"FRMPD4","ENSECAG00000000153","ENSECAG00000000153",0.00989833168664924,0.0109600845328483,-0.0253678349265049,0.00268659106176278,-0.00903399414443269
"SPATA6","ENSECAG00000000158","ENSECAG00000000158",-0.0032360469355553,0.00482246833961799,0.00161365289019082,-0.00433697015884527,-0.00275809758278567
"COX5A","ENSECAG00000000160","ENSECAG00000000160",0.00294914710424838,-0.00304297295835831,0.0113815918952784,-0.00146033809625288,0.00227214481343252
"TRIP12","ENSECAG00000000162","ENSECAG00000000162",-0.00716915067468516,0.0050457092637957,-0.00561517929297753,-0.00508145863105149,-0.00648649275603136
"SPHKAP","ENSECAG00000000166","ENSECAG00000000166",0.0164479467484906,0.0458154860961818,0.0148732443318338,-0.00798681980193176,-0.00435675419906643
"NPAS2","ENSECAG00000000171","ENSECAG00000000171",-0.0232329880493849,-0.00624774475277169,0.0114862210664662,0.00456810468021057,-0.0102982829210562
"SEMA7A","ENSECAG00000000173","ENSECAG00000000173",0.00216934731556859,0.013151361161886,-0.00155730954969982,0.0140541002131859,-0.00025851931294658
"SPEG","ENSECAG00000000174","ENSECAG00000000174",-0.0123574149103043,0.00190102991731611,0.000636658068482641,-0.00306284092244994,-0.00709588766437271
"ZDHHC4","ENSECAG00000000176","ENSECAG00000000176",1.19442585887801e-05,0.00154858001943439,0.0095595567947682,0.00464329474470525,0.00470731306893766
"RUNX1T1","ENSECAG00000000178","ENSECAG00000000178",-0.0130623273846693,0.00926156404639778,-0.00961858086743974,-0.00146135522536608,0.00896521859519561
"SCN1B","ENSECAG00000000179","ENSECAG00000000179",-0.00524463961171476,-0.000253916061219076,0.0121259862347162,-0.00468385164724182,-0.00569918109724186
"CREB3","ENSECAG00000000184","ENSECAG00000000184",0.00279679909196933,-0.00445845011450478,0.00526519321501292,-0.00172020411512599,0.00339379647887259
"DEGS1","ENSECAG00000000186","ENSECAG00000000186",0.00447075298184767,0.00180491608308628,0.00379881127511388,0.00202510284892694,-0.00215234122452516
"NMD3","ENSECAG00000000188","ENSECAG00000000188",-0.000892030705232773,-0.00722378371698371,0.00145926079327698,-0.00183238196491515,0.00361917713613889
"SYNE4","ENSECAG00000000190","ENSECAG00000000190",0.00669541233704903,0.00288350670341408,0.013433755179997,-0.00332060713708996,0.0021510864506672
"SSBP3","ENSECAG00000000193","ENSECAG00000000193",-0.00265323289983807,0.000469574282644982,-2.16444112545935e-05,0.00351608248374153,0.00265589365695299
"ZMYM5","ENSECAG00000000194","ENSECAG00000000194",-0.00566850398454562,-0.00311316683595687,-0.00267069606909039,0.00305961733362413,0.00485359073848928
"MMP15","ENSECAG00000000196","ENSECAG00000000196",-0.00307399130582559,-0.00126690646285722,0.00363063934179593,-0.00481870517271346,-0.00592745937824495
"TLR3","ENSECAG00000000197","ENSECAG00000000197",-0.00223914973943607,0.0105710930992239,-0.0189961855846552,-0.00588576694388186,0.0180685165328621
"RGS3","ENSECAG00000000199","ENSECAG00000000199",-0.000334721072502192,-0.0122814162392675,-0.0042014388328005,-0.00410914055006105,-0.00122974147135671
"SOHLH2","ENSECAG00000000201","ENSECAG00000000201",-0.00169055404444122,0.00625406726610823,-0.00608453831069144,-0.0226173030475245,0.00903060068981359
"TESK1","ENSECAG00000000204","ENSECAG00000000204",-0.001307912427481,-0.00322435068074273,0.000728991593764851,-0.00415237062317355,-0.000275567435845986
"CCDC110","ENSECAG00000000205","ENSECAG00000000205",0.0322251268970143,0.0148832997484703,0.00213823848286852,-0.00617066739176942,-0.0027711640959187
"ACTA1","ENSECAG00000000207","ENSECAG00000000207",-0.00859670111736346,-0.023172691857081,0.0028620988795879,-0.018247373133806,-0.0359092720460416
"DPY19L3","ENSECAG00000000212","ENSECAG00000000212",-0.000880708683116323,0.00808850838659832,0.000304413790578132,0.00378998274754209,1.68270907727651e-05
"MTSS2","ENSECAG00000000217","ENSECAG00000000217",-0.000630780834698079,0.00835784435409184,0.00753636305215283,-0.00268299960946989,-0.00417120697569806
"ETV5","ENSECAG00000000221","ENSECAG00000000221",0.00454410156938646,0.0544008236492655,0.0339546928805955,0.0179216768484366,-0.00746578407227832
"BCS1L","ENSECAG00000000224","ENSECAG00000000224",0.000906229201832077,-0.00981803686408349,0.00603185921798438,-0.0030956134942049,-0.00298668212804677
"CATSPERG","ENSECAG00000000225","ENSECAG00000000225",0.00353322892581259,0.00355559339368289,0.00331353881254733,-0.00542403827269079,0.00797132460436481
"C6orf136","ENSECAG00000000226","ENSECAG00000000226",0.00129003513194559,-0.00530987596046766,0.00594319427237121,-0.00278350868435693,0.00148606348782217
"HDAC6","ENSECAG00000000227","ENSECAG00000000227",-0.000566713908973543,0.00168883032428198,-0.00153397650523842,-0.00440536396471091,0.00239327120166468
"GNAI1","ENSECAG00000000229","ENSECAG00000000229",0.0012409392577931,0.00801857510882048,0.00216381201133427,-0.000595503836290919,0.00132028901592579
"WDFY2","ENSECAG00000000232","ENSECAG00000000232",-0.00770614825042651,0.00830733166323536,-0.0153916015741541,0.00191632133585054,0.00940968094898598
"GPC6","ENSECAG00000000234","ENSECAG00000000234",0.00315785141240192,0.018351931221483,-0.00138882763953185,0.0114507026508967,0.00789749814411974
"EIF3E","ENSECAG00000000236","ENSECAG00000000236",0.00332535253162562,-0.00911750509319157,0.00488942903177545,0.00348788516385817,0.00537347012945299
"DGKH","ENSECAG00000000237","ENSECAG00000000237",-0.00325546112161393,0.017059263707128,-0.0149985637627197,-0.00670116086385487,-0.00249208097719778
"BOK","ENSECAG00000000238","ENSECAG00000000238",0.00840868547557147,-0.0104389894758933,0.00143007006989336,0.0109186644789546,-0.00199299318264223
"FNDC1","ENSECAG00000000239","ENSECAG00000000239",0.0124175805839027,0.0061905188679505,-0.0231553631263249,0.0193325697782926,0.00628623388014831
"BCHE","ENSECAG00000000240","ENSECAG00000000240",-0.0039092067121131,0.0114974624047118,-0.00804862727610213,-0.00490730944092936,0.00545253621281368
"AP2M1","ENSECAG00000000242","ENSECAG00000000242",0.00138503719218214,-0.00468574683846972,0.0057833277198942,-0.00374241987280567,-0.00225008408488559
"ZNF423","ENSECAG00000000244","ENSECAG00000000244",-0.00753078568107887,0.0117153090688652,-0.00314384616111409,0.0139260175507605,0.00457118292203064
"GTF2F1","ENSECAG00000000246","ENSECAG00000000246",0.00286978289246623,-0.0070399129517352,0.00660972134314805,0.00169911736310782,-0.000111104652476822
"SERTAD1","ENSECAG00000000248","ENSECAG00000000248",0.00475065792146476,-0.0128592077507136,0.000876308859743385,0.00945643731286081,-0.0126917307356725
"THAP4","ENSECAG00000000252","ENSECAG00000000252",0.00132410044496049,0.00029940084648609,0.00433841384516186,-0.00284688254297435,0.00515062480092636
"STX11","ENSECAG00000000258","ENSECAG00000000258",-0.00712444184525302,-0.000549962395573073,-0.00517957261596418,0.0218391111470879,-0.000613044834725771
