"GENENAME","ENSEMBL","ENSEMBL.1","PC1","PC2","PC3","PC4","PC5"
"SEMA7A","ENSECAG00000000173","ENSECAG00000000173",0.00536777118340801,-0.00615415514518879,-0.0141185559334494,-0.0051960237657112,-0.00187002053501678
"SPEG","ENSECAG00000000174","ENSECAG00000000174",-0.00133764251349358,0.00301810213667246,-0.00129015853578472,-0.00454703056211173,-0.000406344561004505
"ZDHHC4","ENSECAG00000000176","ENSECAG00000000176",0.00425397211147244,-0.000724501737951046,-0.00118350511262666,-0.00492459940236727,0.00509213644429801
"RUNX1T1","ENSECAG00000000178","ENSECAG00000000178",-0.00171741341861794,0.0102642054721237,-0.0110175994356374,0.00545314564324824,0.00467553917561148
"SCN1B","ENSECAG00000000179","ENSECAG00000000179",0.000213689313860656,0.00603790799709404,0.00904231774309075,-0.0114731259192436,-0.00410303542118349
"CREB3","ENSECAG00000000184","ENSECAG00000000184",-7.27842780905414e-05,0.00192203754468723,0.00340203270442309,-0.00406902521693544,0.000906488411446695
"DEGS1","ENSECAG00000000186","ENSECAG00000000186",-0.00234746508695449,-0.00202779659051909,-0.00114516105329269,-0.0025000639438319,-0.00704069369146872
"NMD3","ENSECAG00000000188","ENSECAG00000000188",-0.00136116297075611,0.00381736053033221,-0.000232651990327236,-0.00104694938312814,-0.00498919188240824
"SYNE4","ENSECAG00000000190","ENSECAG00000000190",0.00020191461517377,-0.00246551145877536,0.00112348495583731,-0.00306895190877449,0.00199130607806705
"SSBP3","ENSECAG00000000193","ENSECAG00000000193",0.00260312938738586,-0.000957852588803719,-0.00014736565285624,-0.00133453832749575,0.00479588163993403
"ZMYM5","ENSECAG00000000194","ENSECAG00000000194",0.00138954053006382,0.00651019767174761,-0.00280248543735161,0.00512060829836158,0.000111296604546036
"MMP15","ENSECAG00000000196","ENSECAG00000000196",-0.000991595010469958,0.00360480822980929,0.00419837437020647,-0.00149156939654789,0.00168705488133563
"TLR3","ENSECAG00000000197","ENSECAG00000000197",0.0095726318252164,0.000572829280793564,0.00967765376020964,0.00934601182881652,0.0144246472355614
"RGS3","ENSECAG00000000199","ENSECAG00000000199",-0.0027946418912656,0.00131099198362813,0.0122030051888727,0.00850725296130772,-0.0125331336082247
"SOHLH2","ENSECAG00000000201","ENSECAG00000000201",0.0026519647192604,0.0106126818094696,0.000169970254890017,-0.0130306780894575,-0.00206858788143854
"TESK1","ENSECAG00000000204","ENSECAG00000000204",-0.00074237392073262,-0.00189310784634742,0.0028571796332838,-0.00209549737961527,-0.00152598773449852
"CCDC110","ENSECAG00000000205","ENSECAG00000000205",-0.0154960195969277,-0.00303502003443529,-0.00619649213905967,0.00585327542632939,-0.00436570662512321
"ACTA1","ENSECAG00000000207","ENSECAG00000000207",0.0175859912831478,0.0188092561304221,0.0360874333086439,-0.00263603369873345,-0.000312757502772175
"DPY19L3","ENSECAG00000000212","ENSECAG00000000212",-0.00313474199353605,0.000563802903689417,-0.0012462657696755,-0.00384585623178614,-0.00387247352351819
"MTSS2","ENSECAG00000000217","ENSECAG00000000217",0.00620778918299164,0.000156983949051731,0.000428501520962666,-0.00782611068879437,0.00790118005851537
"ETV5","ENSECAG00000000221","ENSECAG00000000221",-0.0167094415086756,0.00475994236391316,-0.0092470491821171,-0.0429639755678261,0.045636170939104
"BCS1L","ENSECAG00000000224","ENSECAG00000000224",0.00259650097928916,0.00186793011828692,0.0085852598764109,-0.00224375817231233,-0.00103646902078017
"CATSPERG","ENSECAG00000000225","ENSECAG00000000225",0.0136866654950333,-0.0128234279829597,0.000378970872769503,0.00256140829627891,0.00506113629213568
"C6orf136","ENSECAG00000000226","ENSECAG00000000226",0.00323163488051066,-0.000472392629810294,0.00566167959785319,-0.00354249118316277,-0.00049511291404634
"HDAC6","ENSECAG00000000227","ENSECAG00000000227",-0.00053262357442197,-0.00338907097703256,-0.00369485091702072,-0.00370560770362742,0.00115417260846796
"GNAI1","ENSECAG00000000229","ENSECAG00000000229",0.0032816374710613,-0.00191607829589725,-0.00141435065379465,-0.00383208407041202,0.00103896351937829
"WDFY2","ENSECAG00000000232","ENSECAG00000000232",0.00299736939112103,-0.0155550626780199,-0.00444834756328581,0.0115652152422053,0.0138157782293513
"GPC6","ENSECAG00000000234","ENSECAG00000000234",-0.00558540758409281,0.00434477090909797,-0.00987904271306492,0.0129630456384152,0.0122827420727709
"MTBP","ENSECAG00000000235","ENSECAG00000000235",0.00305388796744108,-0.00419680225262544,-0.00667719424198991,0.00642759149435403,-0.00371116061141383
"EIF3E","ENSECAG00000000236","ENSECAG00000000236",0.00351638355013956,-0.00325872372061162,0.00156442421170724,-0.00422606878377884,-0.00274921123248986
"DGKH","ENSECAG00000000237","ENSECAG00000000237",0.0014746710008118,-0.00235752181292132,-0.00661990182176398,0.00651224725698264,0.00413674387685064
"BOK","ENSECAG00000000238","ENSECAG00000000238",-0.0084758931800743,-0.000712251231002041,0.00933595366240032,0.00596565838734071,-0.00642395412138523
"FNDC1","ENSECAG00000000239","ENSECAG00000000239",-0.00618481249884964,0.00196015607957124,0.0135878332465984,0.0247097771381482,0.0195574390374131
"BCHE","ENSECAG00000000240","ENSECAG00000000240",-0.0234417430464457,0.0125969266965304,-0.0103916690076113,0.00438912696932308,-0.00992118276431997
"AP2M1","ENSECAG00000000242","ENSECAG00000000242",-0.00116933036391114,0.00048487997903299,0.00418537813710294,-0.00355973864321697,-0.000512691254412986
